overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:
错误类型: 过纠

原始: 日本在钓鱼岛问题上，真如他们的鹰派首相安倍所讲的，和中国已经没有任何谈判的余地
正确: 日本在钓鱼岛问题上，【正】如他们的鹰派首相安倍所讲的，和中国已经没有任何谈判的余地
预测: 日本在钓鱼岛问题上，【真】如他们的鹰派首相安倍所讲的，和中国已经没有任何谈判的余地
错误类型: 漏纠

原始: 据每日邮报，一对摄影师父子来到乌克兰一家水族馆里拍摄白鲸，不想好奇的白鲸一会儿“咬”住摄影师潜水气管，一会儿又“亲亲”水下摄影机，在水下和摄影师玩得不亦乐乎，不停抢镜卖萌……人类的好朋友，请别让他们再受伤害
正确: 据每日邮报，一对摄影师父子来到乌克兰一家水族馆里拍摄白鲸，不想好奇的白鲸一会儿“咬”住摄影师潜水气管，一会儿又“亲亲”水下摄影机，在水下和摄影师玩得不亦乐乎，不停抢镜卖萌……人类的好朋友，请别让【它】们再受伤害
预测: 据每日邮报，一对摄影师父子来到乌克兰一家水族馆里拍摄白鲸，不想好奇的白鲸一会儿“咬”住摄影师潜水气管，一会儿又“亲亲”水下摄影机，在水下和摄影师玩得不亦乐乎，不停抢镜卖萌……人类的好朋友，请别让【他】们再受伤害
错误类型: 漏纠

原始: 期间他透露，尽管此前《小崔说立波秀》遭遇质疑声一遍，但第二季筹备工作已经展开
正确: 期间他透露，尽管此前《小崔说立波秀》遭遇质疑声一【片】，但第二季筹备工作已经展开
预测: 期间他透露，尽管此前《小崔说立波秀》遭遇质疑声一【遍】，但第二季筹备工作已经展开
错误类型: 漏纠

原始: 美国人正在逐渐认为他们的经济制度不公平，税收制度便是这种不公感的标志物；但米特·罗姆尼并没有选择改变，显然他并未意识到对投机活动课税比努力工作更轻的制度是扭曲经济的
正确: 美国人正在逐渐认为他们的经济制度不公平，税收制度便是这种不公【感】的标志物；但米特·罗姆尼并没有选择改变，显然他并未意识到对投机活动课税比努力工作更轻的制度是扭曲经济的
预测: 美国人正在逐渐认为他们的经济制度不公平，税收制度便是这种不公【平】的标志物；但米特·罗姆尼并没有选择改变，显然他并未意识到对投机活动课税比努力工作更轻的制度是扭曲经济的
错误类型: 过纠

原始: 社科院农村发展研究所研究院、天则经济研究所副所长冯兴元表示，公有制将继续在主体地位，意味着国有企业还将继续做大做强，骑在民企头上
正确: 社科院农村发展研究所研究员、天则经济研究所副所长冯兴元表示，公有制将继续【在】主体地位，意味着国有企业还将继续做大做强，骑在民企头上
预测: 社科院农村发展研究所研究员、天则经济研究所副所长冯兴元表示，公有制将继续【占】主体地位，意味着国有企业还将继续做大做强，骑在民企头上
错误类型: 综合

原始: 握有微信的马化腾难掩心中狂喜，却从不敢象马云挑战银行业一样挑战运营商，＂从不敢说过份的话＂
正确: 握有微信的马化腾难掩心中狂喜，却从不敢像马云挑战银行业一样挑战运营商，＂从不敢说过【分】的话＂
预测: 握有微信的马化腾难掩心中狂喜，却从不敢像马云挑战银行业一样挑战运营商，＂从不敢说过【份】的话＂
错误类型: 综合

原始: 此菩萨为青面朱发，据传元代有少林寺厨房杂务僧，在红巾军围攻少林寺时自称紧那罗王大退围兵
正确: 此菩萨为青面朱发，据传元代有少林寺厨房杂务僧，在红巾军围攻少林寺时自称紧那罗王【打】退围兵
预测: 此菩萨为青面朱发，据传元代有少林寺厨房杂务僧，在红巾军围攻少林寺时自称紧那罗王【大】退围兵
错误类型: 漏纠

原始: 在工业以及设计等行业都有一些需要保密的资料，而防偷窥贴膜也就随既产生了
正确: 在工业以及设计等行业都有一些需要保密的资料，而防偷窥贴膜也就随【即】产生了
预测: 在工业以及设计等行业都有一些需要保密的资料，而防偷窥贴膜也就随【之】产生了
错误类型: 综合

原始: 江苏徐州张大姐一家经纪状况不好，靠丈夫打工维持生计，不料家里还是进了小偷，更意想不到的是小偷不仅没偷到东西，还留下了200元和一张字条：不好意思，你家真是一贫如洗，是我从未遇到过的，这200元你拿去换锁吧
正确: 江苏徐州张大姐一家经【济】状况不好，靠丈夫打工维持生计，不料家里还是进了小偷，更意想不到的是小偷不仅没偷到东西，还留下了200元和一张字条：不好意思，你家真是一贫如洗，是我从未遇到过的，这200元你拿去换锁吧
预测: 江苏徐州张大姐一家经【纪】状况不好，靠丈夫打工维持生计，不料家里还是进了小偷，更意想不到的是小偷不仅没偷到东西，还留下了200元和一张字条：不好意思，你家真是一贫如洗，是我从未遇到过的，这200元你拿去换锁吧
错误类型: 漏纠

原始: 不知从那年开始，青瓦台就看不到花了，因为都被梅花鹿群当做美味吃掉了
正确: 不知从【哪】年开始，青瓦台就看不到花了，因为都被梅花鹿群当做美味吃掉了
预测: 不知从【那】年开始，青瓦台就看不到花了，因为都被梅花鹿群当做美味吃掉了
错误类型: 漏纠

原始: 出身于加利福尼亚的亚当·加达恩呼吁富裕的穆斯林悬赏，鼓励武装分子杀死在这一地区的西方大使
正确: 出【生】于加利福尼亚的亚当·加达恩呼吁富裕的穆斯林悬赏，鼓励武装分子杀死在这一地区的西方大使
预测: 出【身】于加利福尼亚的亚当·加达恩呼吁富裕的穆斯林悬赏，鼓励武装分子杀死在这一地区的西方大使
错误类型: 漏纠

原始: 今天，大众网全国两会特派报道组抵达北京，在随后的会期里，大众网记者将分赴人民大会堂、人大山东团住地以及各场重要新闻发布会，通过“直击大会堂”、“两会直播间”等栏目，全景展现两会盛况，聚焦改革热点
正确: 今天，大众网全国两会特派报道组抵达北京，在随后的会期里，大众网记者将分赴人民大会堂、人大山东团【驻】地以及各场重要新闻发布会，通过“直击大会堂”、“两会直播间”等栏目，全景展现两会盛况，聚焦改革热点
预测: 今天，大众网全国两会特派报道组抵达北京，在随后的会期里，大众网记者将分赴人民大会堂、人大山东团【住】地以及各场重要新闻发布会，通过“直击大会堂”、“两会直播间”等栏目，全景展现两会盛况，聚焦改革热点
错误类型: 漏纠

原始: 这个巨型机械熊猫有20呎(约6米)高，重5吨，叫IronPanda阿潘达
正确: 这个巨型机械熊猫有20【尺】(约6米)高，重5吨，叫IronPanda阿潘达
预测: 这个巨型机械熊猫有20【呎】(约6米)高，重5吨，叫IronPanda阿潘达
错误类型: 漏纠

原始: 然而传统企业做电子商务，强大的线下网络是优势也是包袱，线上线下融合难取得李响效果，家居电商路并不平坦
正确: 然而传统企业做电子商务，强大的线下网络是优势也是包袱，线上线下融合难取得【理】【想】效果，家居电商路并不平坦
预测: 然而传统企业做电子商务，强大的线下网络是优势也是包袱，线上线下融合难取得【影】【效】效果，家居电商路并不平坦
错误类型: 综合

原始: 据了解，监管提前2周宣布是指出，第1周公布日期，再预留第2周给市场筹备
正确: 据了解，监管提前2周宣布【时】指出，第1周公布日期，再预留第2周给市场筹备
预测: 据了解，监管提前2周宣布【是】指出，第1周公布日期，再预留第2周给市场筹备
错误类型: 漏纠

原始: 吉林省吉林市，房产商家聘请的身高1.82米的一对性感女模在吉林市(第十八届)房屋展示交易会上展示人体骨干美，吸引了众多市民驻足观赏拍照但是，模特的“比基尼”造型，被指糟蹋国粹
正确: 吉林省吉林市，房产商家聘请的身高1.82米的一对性感女模在吉林市(第十八届)房屋展示交易会上展示人体骨【感】美，吸引了众多市民驻足观赏拍照但是，模特的“比基尼”造型，被指糟蹋国粹
预测: 吉林省吉林市，房产商家聘请的身高1.82米的一对性感女模在吉林市(第十八届)房屋展示交易会上展示人体骨【干】美，吸引了众多市民驻足观赏拍照但是，模特的“比基尼”造型，被指糟蹋国粹
错误类型: 漏纠

原始: 中国科学院心理研究所研究院李纾的研究小组对此现象进行了研究
正确: 中国科学院心理研究所研究【院】李纾的研究小组对此现象进行了研究
预测: 中国科学院心理研究所研究【员】李纾的研究小组对此现象进行了研究
错误类型: 过纠

原始: 在趁这个产品线尚未发展到非常庞大的规模时，笔者正好利用这次实际针对这3个品牌的产品聊聊各自搭配耳塞的事儿
正确: 在趁这个产品线尚未发展到非常庞大的规模时，笔者正好利用这次【时】【机】针对这3个品牌的产品聊聊各自搭配耳塞的事儿
预测: 在趁这个产品线尚未发展到非常庞大的规模时，笔者正好利用这次【实】【际】针对这3个品牌的产品聊聊各自搭配耳塞的事儿
错误类型: 漏纠

原始: 销售商话，该系列新茶在当地公务消费市场中好受欢迎，而“茶奢侈品”更多仲系被定位在礼尚往来同公务政务消费
正确: 销售商话，该系列新茶在当地公务消费市场中好受欢迎，而“茶奢侈品”更多【种】系被定位在礼尚往来同公务政务消费
预测: 销售商话，该系列新茶在当地公务消费市场中好受欢迎，而“茶奢侈品”更多【仲】系被定位在礼尚往来同公务政务消费
错误类型: 漏纠

原始: 电商是个“大坑”：淘宝2003年创办，为了迎得垄断性的地位，6年时间烧掉的钱在100亿左右；京东在淘宝08年获得垄断地位时，销售额刚刚突破50亿，为了在竞争中不被淘宝和天猫商城灭了，耗资超过300亿在全国自建物流配送体系……
正确: 电商是个“大坑”：淘宝2003年创办，为了【赢】得垄断性的地位，6年时间烧掉的钱在100亿左右；京东在淘宝08年获得垄断地位时，销售额刚刚突破50亿，为了在竞争中不被淘宝和天猫商城灭了，耗资超过300亿在全国自建物流配送体系……
预测: 电商是个“大坑”：淘宝2003年创办，为了【取】得垄断性的地位，6年时间烧掉的钱在100亿左右；京东在淘宝08年获得垄断地位时，销售额刚刚突破50亿，为了在竞争中不被淘宝和天猫商城灭了，耗资超过300亿在全国自建物流配送体系……
错误类型: 综合

原始: 记者感到现场看到，大观商业城多个路口已实行交通管制，交警正引导过往车辆掉头绕行
正确: 记者【赶】到现场看到，大观商业城多个路口已实行交通管制，交警正引导过往车辆掉头绕行
预测: 记者【感】到现场看到，大观商业城多个路口已实行交通管制，交警正引导过往车辆掉头绕行
错误类型: 漏纠

原始: 但目前在太原市几家超市、商店，仍然有改批次问题产品销售
正确: 但目前在太原市几家超市、商店，仍然有【该】批次问题产品销售
预测: 但目前在太原市几家超市、商店，仍然有【改】批次问题产品销售
错误类型: 漏纠

原始: 随着iPhone5的发售，iPhone5那迷人的身煅，传承经典的设计以及难以超越的精湛做工，一时间引来广大“果粉”的慷慨倾囊，不惜重金从黄牛处购得，第一时间睹其真容
正确: 随着iPhone5的发售，iPhone5那迷人的身【段】，传承经典的设计以及难以超越的精湛做工，一时间引来广大“果粉”的慷慨倾囊，不惜重金从黄牛处购得，第一时间睹其真容
预测: 随着iPhone5的发售，iPhone5那迷人的身【姿】，传承经典的设计以及难以超越的精湛做工，一时间引来广大“果粉”的慷慨倾囊，不惜重金从黄牛处购得，第一时间睹其真容
错误类型: 综合

原始: 正好最近该经典大作出了一次重大更新，并且改名为《糖果粉碎苏打传奇》，在原有的基础上增加了重多玩法，可以说已经成为了另一款游戏了!
正确: 正好最近该经典大作出了一次重大更新，并且改名为《糖果粉碎苏打传奇》，在原有的基础上增加了【众】多玩法，可以说已经成为了另一款游戏了!
预测: 正好最近该经典大作出了一次重大更新，并且改名为《糖果粉碎苏打传奇》，在原有的基础上增加了【更】多玩法，可以说已经成为了另一款游戏了!
错误类型: 综合

原始: 在没有互联网的年代，成功学就已经是很大的产业，遍布全球；随着互联网的普及，铺着互联网外衣的成功学更是大行其道，和鸡汤、励志语录一起称为网络文化的重要组成部门
正确: 在没有互联网的年代，成功学就已经是很大的产业，遍布全球；随着互联网的普及，披着互联网外衣的成功学更是大行其道，和鸡汤、励志语录一起【称】为网络文化的重要组成部门
预测: 在没有互联网的年代，成功学就已经是很大的产业，遍布全球；随着互联网的普及，披着互联网外衣的成功学更是大行其道，和鸡汤、励志语录一起【成】为网络文化的重要组成部门
错误类型: 综合

原始: 今天，上海发布高温红色预警，室外温度急遽飙升，部分路面可以直接煎蛋
正确: 今天，上海发布高温红色预警，室外温度急【剧】飙升，部分路面可以直接煎蛋
预测: 今天，上海发布高温红色预警，室外温度急【遽】飙升，部分路面可以直接煎蛋
错误类型: 漏纠

原始: 截至今年2月24日，全国出入境检测检疫机构检测出的未经批准含转基因成分的美国玉米88.7万吨，已全部作退运处理
正确: 截至今年2月24日，全国出入境检【测】检疫机构检测出的未经批准含转基因成分的美国玉米88.7万吨，已全部作退运处理
预测: 截至今年2月24日，全国出入境检【验】检疫机构检测出的未经批准含转基因成分的美国玉米88.7万吨，已全部作退运处理
错误类型: 过纠

原始: 图为鼓楼法院在审判大庭召开刑事宣判会
正确: 图为鼓楼法院在审判大【厅】召开刑事宣判会
预测: 图为鼓楼法院在审判大【庭】召开刑事宣判会
错误类型: 漏纠

原始: 求职者可登录众国人才网（），也可拨打0851-8211208咨询
正确: 求职者可登录【中】国人才网（），也可拨打0851-8211208咨询
预测: 求职者可登录【众】国人才网（），也可拨打0851-8211208咨询
错误类型: 漏纠

原始: 下一阶段，要加大新兴信息服务推广应用力度，努力把信息消费培育成新的经济增长点
正确: 下一阶段，要加大新【兴】信息服务推广应用力度，努力把信息消费培育成新的经济增长点
预测: 下一阶段，要加大新【型】信息服务推广应用力度，努力把信息消费培育成新的经济增长点
错误类型: 过纠

原始: 这一对策是否能凑效目前还未为可知
正确: 这一对策是否能【凑】效目前还【为】【未】可知
预测: 这一对策是否能【奏】效目前还【未】【为】可知
错误类型: 综合

原始: 事发后，当地警方介入调查，以没发现他杀线索，一直没有立案
正确: 事发后，当地警方介入调查，【以】没发现他杀线索，一直没有立案
预测: 事发后，当地警方介入调查，【因】没发现他杀线索，一直没有立案
错误类型: 过纠

原始: 肥沃的水浇地，红薯不面不甜还有粗纤维，过了霜降收获的更好
正确: 肥沃的水浇地，红薯不【面】不甜还有粗纤维，过了霜降收获得更好
预测: 肥沃的水浇地，红薯不【淡】不甜还有粗纤维，过了霜降收获得更好
错误类型: 综合

原始: 在过去二三十年间，几乎没一领域是不被利益所绑架、渗透，也就是说所有社会利益已经被权力部门瓜分的差不多了，就算城市的垃圾也可能被当权者瓜分
正确: 在过去二三十年间，几乎【每】一领域是不被利益所绑架、渗透，也就是说所有社会利益已经被权力部门瓜分的差不多了，就算城市的垃圾也可能被当权者瓜分
预测: 在过去二三十年间，几乎【没】一领域是不被利益所绑架、渗透，也就是说所有社会利益已经被权力部门瓜分的差不多了，就算城市的垃圾也可能被当权者瓜分
错误类型: 漏纠

原始: 美国学者白柯（LarryBacker）认为：违宪审查可以说是法治社会的最高政治权力，将其归于共产党自身，不仅名正言顺，而且可以最大程度上符合目前中国的法律和政治的现实
正确: 美国学者白柯（LarryBacker）认为：违宪审查可以说是法治社会的最高政治权【力】，将其归于共产党自身，不仅名正言顺，而且可以最大程度上符合目前中国的法律和政治的现实
预测: 美国学者白柯（LarryBacker）认为：违宪审查可以说是法治社会的最高政治权【利】，将其归于共产党自身，不仅名正言顺，而且可以最大程度上符合目前中国的法律和政治的现实
错误类型: 过纠

原始: 有网友称，美剧是一个了解真实美国，打破“神话美国”的最好的工具，希望快点解决审批程序问题，让打击通过美剧了解一个真实的美国
正确: 有网友称，美剧是一个了解真实美国，打破“神话美国”的最好的工具，希望快点解决审批程序问题，让【大】【家】通过美剧了解一个真实的美国
预测: 有网友称，美剧是一个了解真实美国，打破“神话美国”的最好的工具，希望快点解决审批程序问题，让【打】【击】通过美剧了解一个真实的美国
错误类型: 漏纠

原始: 但是，至少没风的日子，站在阳光下你就能笑魇如花；而在南方，先不说难得见到天日——你就是把自己裹成粽子，手脚也还是冰凉冰凉的
正确: 但是，至少没风的日子，站在阳光下你就能笑【魇】如花；而在南方，先不说难得见到天日——你就是把自己裹成粽子，手脚也还是冰凉冰凉的
预测: 但是，至少没风的日子，站在阳光下你就能笑【靥】如花；而在南方，先不说难得见到天日——你就是把自己裹成粽子，手脚也还是冰凉冰凉的
错误类型: 过纠

原始: 目前情况是，200人只分到10顶帐篷，龙门村犹豫缺乏奶粉，婴儿只能以米粉充饥
正确: 目前情况是，200人只分到10顶帐篷，龙门村由【于】缺乏奶粉，婴儿只能以米粉充饥
预测: 目前情况是，200人只分到10顶帐篷，龙门村由【因】缺乏奶粉，婴儿只能以米粉充饥
错误类型: 综合

原始: 由于和三星引人注目的专利官司，苹果公司许多不为人知的细节都被曝光出来，特别是设计，他们试图证明iPhone是一款独一无二的原创产品，于是被迫展示了苹果顶尖设计团队的某后故事，苹果的设计团队只有15人，为什么小团队的效率如此高
正确: 由于和三星引人注目的专利官司，苹果公司许多不为人知的细节都被曝光出来，特别是设计，他们试图证明iPhone是一款独一无二的原创产品，于是被迫展示了苹果顶尖设计团队的【幕】后故事，苹果的设计团队只有15人，为什么小团队的效率如此高
预测: 由于和三星引人注目的专利官司，苹果公司许多不为人知的细节都被曝光出来，特别是设计，他们试图证明iPhone是一款独一无二的原创产品，于是被迫展示了苹果顶尖设计团队的【背】后故事，苹果的设计团队只有15人，为什么小团队的效率如此高
错误类型: 综合

原始: 一个充满神秘色彩的社会群体已经夺去全中国所有的光芒-在一线二线三线城市遍地开花，全面掘起的新兴黑领阶层
正确: 一个充满神秘色彩的社会群体已经夺去全中国所有的光芒-在一线二线三线城市遍地开花，全面【崛】起的新兴黑领阶层
预测: 一个充满神秘色彩的社会群体已经夺去全中国所有的光芒-在一线二线三线城市遍地开花，全面【掘】起的新兴黑领阶层
错误类型: 漏纠

原始: 第一天只能喝豆腐牛奶汤，从第二天开始加入黄瓜或者西红柿等水果蔬菜，增加威力的纤维含量，加速新陈代谢，这时你就明显的感觉小腹平了很多，一般第三天你就可以瘦1―2公斤，有平平的腹部啦
正确: 第一天只能喝豆腐牛奶汤，从第二天开始加入黄瓜或者西红柿等水果蔬菜，增加威力的纤维含量，加速新陈代谢，这时你就明显【地】感觉小腹平了很多，一般第三天你就可以瘦1―2公斤，有平平的腹部啦
预测: 第一天只能喝豆腐牛奶汤，从第二天开始加入黄瓜或者西红柿等水果蔬菜，增加威力的纤维含量，加速新陈代谢，这时你就明显【的】感觉小腹平了很多，一般第三天你就可以瘦1―2公斤，有平平的腹部啦
错误类型: 漏纠

原始: 西班牙警方边境巡逻队日前在接近西葡边境地Caya的公路上，在一个出境往葡萄牙的华人的汽车上搜到了10万欧元巨款，由于这笔巨款未有申报，宪兵作为巨额不清来源资金而予与没收
正确: 西班牙警方边境巡逻队日前在接近西葡边境地Caya的公路上，在一个出境往葡萄牙的华人的汽车上搜到了10万欧元巨款，由于这笔巨款未有申报，宪兵作为巨额不清来源资金而予【以】没收
预测: 西班牙警方边境巡逻队日前在接近西葡边境地Caya的公路上，在一个出境往葡萄牙的华人的汽车上搜到了10万欧元巨款，由于这笔巨款未有申报，宪兵作为巨额不清来源资金而予【与】没收
错误类型: 漏纠

原始: 并计划在几年底发展到15各分公司，明年增加到20个分公司
正确: 并计划在【几】年底发展到15个分公司，明年增加到20个分公司
预测: 并计划在【今】年底发展到15个分公司，明年增加到20个分公司
错误类型: 综合

原始: 不过，这场进军手游的大动作却被行业分析师指为操作，认为阿里如此公关秀，还源于其在电商领域面临的压力
正确: 不过，这场进军手游的大动作却被行业分析师指为【炒】作，认为阿里如此公关秀，还源于其在电商领域面临的压力
预测: 不过，这场进军手游的大动作却被行业分析师指为【操】作，认为阿里如此公关秀，还源于其在电商领域面临的压力
错误类型: 漏纠

原始: 私设资金池、期限错配、信息不透明被指P2P平台频频暴雷的三大元凶，而归结到一点，即第三方存管机构缺失的背景下，P2P公司对交易资金拥有支配权，用户的资金安全完全取决于平台自身的运营控制和道德约束，风险可见一斑
正确: 私设资金池、期限错配、信息不透明被指P2P平台频频【爆】雷的三大元凶，而归结到一点，即第三方存管机构缺失的背景下，P2P公司对交易资金拥有支配权，用户的资金安全完全取决于平台自身的运营控制和道德约束，风险可见一斑
预测: 私设资金池、期限错配、信息不透明被指P2P平台频频【暴】雷的三大元凶，而归结到一点，即第三方存管机构缺失的背景下，P2P公司对交易资金拥有支配权，用户的资金安全完全取决于平台自身的运营控制和道德约束，风险可见一斑
错误类型: 漏纠

原始: 当日多个媒体记者面对遇难女生父母抱头痛苦之时，用摄像机镜头对其进行了直面记录，该
正确: 当日多个媒体记者面对遇难女生父母抱头痛【哭】之时，用摄像机镜头对其进行了直面记录，该
预测: 当日多个媒体记者面对遇难女生父母抱头痛【苦】之时，用摄像机镜头对其进行了直面记录，该
错误类型: 漏纠

原始: 随着科技进步，以及人类对摄影成象的要求提升，相机外貌在过去百多年来不断改变，今天介绍的12款相机，有些外貌独特，亦有些是针对间谍用途来研发，当中很多都让人意识不到它们原来是相机呢
正确: 随着科技进步，以及人类对摄影【成】像的要求提升，相机外貌在过去百多年来不断改变，今天介绍的12款相机，有些外貌独特，亦有些是针对间谍用途来研发，当中很多都让人意识不到它们原来是相机呢
预测: 随着科技进步，以及人类对摄影【形】像的要求提升，相机外貌在过去百多年来不断改变，今天介绍的12款相机，有些外貌独特，亦有些是针对间谍用途来研发，当中很多都让人意识不到它们原来是相机呢
错误类型: 综合

原始: 在如此豪可敌国开支下，地方债务隐忧不容忽视
正确: 在如此【豪】可敌国开支下，地方债务隐忧不容忽视
预测: 在如此【富】可敌国开支下，地方债务隐忧不容忽视
错误类型: 过纠

原始: 未受保护的PC，极易感染难于删除的恶意软件；丢失数据且可能会被犯罪分子用来谋取经济利益…
正确: 未受保护的PC，极易感染难【以】删除的恶意软件；丢失数据且可能会被犯罪分子用来谋取经济利益…
预测: 未受保护的PC，极易感染难【于】删除的恶意软件；丢失数据且可能会被犯罪分子用来谋取经济利益…
错误类型: 漏纠

原始: 京沪高铁连结北京与上海，全长1318公里，是目前世界上一次建成的里程最长的高速铁路
正确: 京沪高铁连【接】北京与上海，全长1318公里，是目前世界上一次建成的里程最长的高速铁路
预测: 京沪高铁连【结】北京与上海，全长1318公里，是目前世界上一次建成的里程最长的高速铁路
错误类型: 漏纠

原始: 据加拿大《星岛日报》综合报道，愈来愈多加拿大人未能觅得全职，很多移民只能靠身兼数职来维持生计，不仅缺乏保障和福利，影响家庭财务的稳健状况，更可能祸及下一代成长，做成跨代贫穷
正确: 据加拿大《星岛日报》综合报道，愈来愈多加拿大人未能觅得全职，很多移民只能靠身兼数职来维持生计，不仅缺乏保障和福利，影响家庭财务的稳健状况，更可能祸及下一代成长，【作】成跨代贫穷
预测: 据加拿大《星岛日报》综合报道，愈来愈多加拿大人未能觅得全职，很多移民只能靠身兼数职来维持生计，不仅缺乏保障和福利，影响家庭财务的稳健状况，更可能祸及下一代成长，【造】成跨代贫穷
错误类型: 综合

原始: 大部分人的收入都是固定的，在此基础上计算出房租，养车费等生活必须品的总开支，根据剩余来决定奢侈品、交际等其他开支
正确: 大部分人的收入都是固定的，在此基础上计算出房租，养车费等生活必需品的总开支，根据剩余来决定奢侈品、交【际】等其他开支
预测: 大部分人的收入都是固定的，在此基础上计算出房租，养车费等生活必需品的总开支，根据剩余来决定奢侈品、交【通】等其他开支
错误类型: 综合

原始: 这只未成年的雄性考拉漫步回到家，却发现曾今的家被砍成了渣渣，他呆坐在在新南威尔士州维特多利亚森林公园里，一脸困惑
正确: 这只未成年的雄性考拉漫步回到家，却发现曾经的家被砍成了渣渣，【它】呆坐在在新南威尔士州维特多利亚森林公园里，一脸困惑
预测: 这只未成年的雄性考拉漫步回到家，却发现曾经的家被砍成了渣渣，【他】呆坐在在新南威尔士州维特多利亚森林公园里，一脸困惑
错误类型: 综合

原始: 近些年，我们所拥有并且使用的电子类产品越来越多，而这些产品的分辨率也有了飞速的提升，从当初我们习惯笔记本的1366×768分辨率、迟迟为更新的21.5英寸液晶显示器1920×1080分辨率，以及手机中最常见的Quarter
正确: 近些年，我们所拥有并且使用的电子类产品越来越多，而这些产品的分辨率也有了飞速的提升，从当初我们习惯笔记本的1366×768分辨率、迟迟【未】更新的21.5英寸液晶显示器1920×1080分辨率，以及手机中最常见的Quarter
预测: 近些年，我们所拥有并且使用的电子类产品越来越多，而这些产品的分辨率也有了飞速的提升，从当初我们习惯笔记本的1366×768分辨率、迟迟【为】更新的21.5英寸液晶显示器1920×1080分辨率，以及手机中最常见的Quarter
错误类型: 漏纠

原始: 列治文每年冬天都被成群雪雁困扰，之前曾有议员提出猎杀雪雁，不过目前市政府仍只是安派16名义工，带着中型至大型的狗狗，四处驱赶雪雁
正确: 列治文每年冬天都被成群雪雁困扰，之前曾有议员提出猎杀雪雁，不过目前市政府仍只是安【排】16名义工，带着中型至大型的狗狗，四处驱赶雪雁
预测: 列治文每年冬天都被成群雪雁困扰，之前曾有议员提出猎杀雪雁，不过目前市政府仍只是安【派】16名义工，带着中型至大型的狗狗，四处驱赶雪雁
错误类型: 漏纠

原始: 店招是商店个名片，有种名字起得相当好，比如卖电脑个叫""百脑汇""，卖服装个叫""衣衣不舍""
正确: 店招是商店个名片，有种名字起得相当好，比如卖电脑个叫""百脑汇""，卖服装个叫""衣衣【布】舍""
预测: 店招是商店个名片，有种名字起得相当好，比如卖电脑个叫""百脑汇""，卖服装个叫""衣衣【不】舍""
错误类型: 漏纠

原始: 快收上线于2014年9月，集和了“共享加盟+服务平台”、“线上预订+线下享受服务”的O2O电子商务模式
正确: 快收上线于2014年9月，集【合】了“共享加盟+服务平台”、“线上预订+线下享受服务”的O2O电子商务模式
预测: 快收上线于2014年9月，集【成】了“共享加盟+服务平台”、“线上预订+线下享受服务”的O2O电子商务模式
错误类型: 综合

原始: 国家信息中心经济预测部主任祝宝良表示，上半年经济基本上就稳住了，上半年经济确实缓中趋稳，但稳中有优，房地产就存在比较大的问题
正确: 国家信息中心经济预测部主任祝宝良表示，上半年经济基本上就稳住了，上半年经济确实缓中趋稳，但稳中有【忧】，房地产就存在比较大的问题
预测: 国家信息中心经济预测部主任祝宝良表示，上半年经济基本上就稳住了，上半年经济确实缓中趋稳，但稳中有【优】，房地产就存在比较大的问题
错误类型: 漏纠

原始: 扰攘多年的外佣居留权案昨日终有定论，港府终极胜诉，外佣居港满7年也没有资格申请居港权，同时终审法院也拒绝了向全国人大常委会寻求释法
正确: 扰攘多年的外佣居留权案昨日终有定论，港府终【于】胜诉，外佣居港满7年也没有资格申请居港权，同时终审法院也拒绝了向全国人大常委会寻求释法
预测: 扰攘多年的外佣居留权案昨日终有定论，港府终【极】胜诉，外佣居港满7年也没有资格申请居港权，同时终审法院也拒绝了向全国人大常委会寻求释法
错误类型: 漏纠

原始: 这项收购耗时供8个月，收购费用总额达到72亿美元
正确: 这项收购耗时【共】8个月，收购费用总额达到72亿美元
预测: 这项收购耗时【近】8个月，收购费用总额达到72亿美元
错误类型: 综合

原始: 昨天，皇马官方在伯纳乌球场的主管包房对外公布了2013/14赛季皇马的客场球衣，皇马将在27日周六对阵巴黎圣日耳曼的友谊赛中首度使用这套全蓝色系的客场球衣
正确: 昨天，皇马官方在伯纳乌球场的主【馆】包房对外公布了2013/14赛季皇马的客场球衣，皇马将在27日周六对阵巴黎圣日耳曼的友谊赛中首度使用这套全蓝色系的客场球衣
预测: 昨天，皇马官方在伯纳乌球场的主【管】包房对外公布了2013/14赛季皇马的客场球衣，皇马将在27日周六对阵巴黎圣日耳曼的友谊赛中首度使用这套全蓝色系的客场球衣
错误类型: 漏纠

原始: 中国网26日消息据路透社报道，当地时间25日，英国石油公司确认，24日下午由于一个机械故障未知总量的石油从英国石油公司的怀廷炼油厂泄露到印第安纳州密歇根湖中
正确: 中国网26日消息据路透社报道，当地时间25日，英国石油公司确认，24日下午由于一个机械故障未知总量的石油从英国石油公司的怀廷炼油厂泄【露】到印第安纳州密歇根湖中
预测: 中国网26日消息据路透社报道，当地时间25日，英国石油公司确认，24日下午由于一个机械故障未知总量的石油从英国石油公司的怀廷炼油厂泄【漏】到印第安纳州密歇根湖中
错误类型: 过纠

